,INSEE_COM,NOM_COMMUNE,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
171,29206,Plounévez-Lochrist,7,0.0,43.0,43.0,86.0,100.0,100.0,0.0,6,0,26026.0,735.0,788.0,0,0,0,0,0,788,0,0
172,29208,Plourin,26,0.0,8.0,50.0,100.0,100.0,100.0,0.0,30,0,23350.0,2652.0,1391.0,0,226,0,0,0,0,1165,0
173,29209,Plouvien,10,0.0,60.0,70.0,90.0,90.0,90.0,10.0,5,0,85961.0,579.0,7477.0,0,0,0,0,1048,6422,7,0
174,29210,Plouvorn,1,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0,0.0,0.0,2590.0,0,0,0,0,0,2590,0,0
175,29212,Plouzané,57,0.0,37.0,67.0,91.0,96.0,98.0,2.0,47,1,214716.0,6105.0,9047.0,6196,666,0,0,0,1114,584,0
176,29214,Plovan,11,0.0,9.0,36.0,64.0,91.0,91.0,9.0,5,3,88914.0,507.0,1955.0,0,0,0,424,0,613,918,0
177,29215,Plozévet,19,0.0,42.0,58.0,79.0,89.0,89.0,11.0,17,3,47853.0,1747.0,2726.0,0,0,0,0,0,2726,0,0
178,29217,Pont-Aven,48,0.0,2.0,48.0,75.0,85.0,88.0,12.0,62,1,80933.0,5613.0,7900.0,0,1102,0,3717,2394,0,687,0
179,29220,Pont-l'Abbé,64,0.0,27.0,56.0,84.0,86.0,86.0,14.0,93,3,160758.0,8877.0,6423.0,0,167,2979,720,0,0,1104,1453
180,29221,Porspoder,5,0.0,40.0,60.0,80.0,80.0,100.0,0.0,5,0,15190.0,420.0,405.0,0,0,0,0,0,0,404,1
181,29224,Pouldergat,16,0.0,12.0,44.0,69.0,81.0,88.0,12.0,15,0,41065.0,1720.0,95.0,0,95,0,0,0,0,0,0
182,29225,Pouldreuzic,17,0.0,24.0,53.0,88.0,88.0,88.0,12.0,17,2,36402.0,1644.0,0.0,0,0,0,0,0,0,0,0
183,29226,Poullan-sur-Mer,17,0.0,0.0,29.0,88.0,88.0,88.0,12.0,13,1,68560.0,1567.0,2998.0,0,0,0,116,0,2766,0,0
184,29235,Le Relecq-Kerhuon,1,0.0,0.0,100.0,100.0,100.0,100.0,0.0,27,0,1980.0,1755.0,0.0,0,0,0,0,0,0,0,0
185,29236,Riec-sur-Bélon,70,0.0,34.0,57.0,74.0,90.0,91.0,9.0,71,5,69655.0,7140.0,2988.0,0,234,177,1370,0,0,1207,0
186,29237,La Roche-Maurice,10,0.0,20.0,40.0,100.0,100.0,100.0,0.0,10,0,7863.0,1071.0,0.0,0,0,0,0,0,0,0,0
187,29238,Roscanvel,1,0.0,0.0,100.0,100.0,100.0,100.0,0.0,1,0,908.0,113.0,0.0,0,0,0,0,0,0,0,0
188,29239,Roscoff,7,0.0,43.0,43.0,100.0,100.0,100.0,0.0,22,0,5234.0,1789.0,190.0,0,0,0,0,0,190,0,0
189,29240,Rosnoën,3,0.0,33.0,33.0,100.0,100.0,100.0,0.0,2,0,153985.0,205.0,99.0,0,0,0,0,0,99,0,0
190,29245,Saint-Divy,15,0.0,20.0,27.0,100.0,100.0,100.0,0.0,22,0,9207.0,2262.0,0.0,0,0,0,0,0,0,0,0
