,INSEE_COM,NOM_COMMUNE,SIREN_EPCI,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
116,29058,Fouesnant,242900660,357,3.0,31.0,40.0,77.0,82.0,84.0,16.0,690,45,1841195.0,68615.0,12613.0,31,43,7080,0,47,1560,908,1398
117,29059,Garlan,242900835,3,33.0,33.0,67.0,67.0,67.0,67.0,33.0,2,0,31705.0,275.0,5511.0,0,0,0,0,0,0,0,5511
118,29060,Gouesnach,242900660,51,0.0,0.0,10.0,94.0,96.0,96.0,4.0,46,0,173857.0,5470.0,786.0,0,0,0,0,0,254,349,0
119,29061,Gouesnou,242900314,1,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0,0,8543.0,0.0,365.0,0,365,0,0,0,0,0,0
120,29063,Goulien,242900629,14,7.0,43.0,79.0,79.0,79.0,79.0,21.0,10,1,98932.0,868.0,2134.0,0,0,0,0,0,2134,0,0
121,29064,Goulven,242900793,18,6.0,44.0,78.0,94.0,100.0,100.0,0.0,17,0,84885.0,1903.0,2668.0,0,0,0,0,0,2668,0,0
122,29068,Guiclan,242900751,5,0.0,100.0,100.0,100.0,100.0,100.0,0.0,1,0,39910.0,126.0,3868.0,0,0,0,0,0,3868,0,0
123,29069,Guilers,242900314,73,5.0,18.0,70.0,97.0,97.0,97.0,3.0,93,0,93870.0,9444.0,159.0,0,0,0,0,0,132,0,27
124,29072,Guilvinec,242900702,16,6.0,25.0,50.0,62.0,75.0,75.0,25.0,19,1,47474.0,2226.0,1950.0,0,126,0,27,1796,0,0,1
125,29073,Guimaëc,242900835,22,5.0,27.0,64.0,77.0,91.0,91.0,9.0,15,1,65846.0,1583.0,4719.0,0,0,457,387,0,3875,0,0
126,29075,Guipavas,242900314,337,3.0,26.0,72.0,93.0,97.0,98.0,2.0,644,2,1983396.0,59570.0,94812.0,174,9226,551,4137,11853,43617,17357,6886
127,29077,Guissény,242900793,53,15.0,42.0,53.0,79.0,85.0,87.0,13.0,50,5,186633.0,5693.0,4546.0,0,0,0,0,0,4168,0,378
128,29078,Hanvec,242900801,52,4.0,33.0,50.0,96.0,96.0,96.0,4.0,50,0,133820.0,6169.0,3026.0,0,0,0,129,0,2354,0,414
129,29079,Henvic,242900835,12,8.0,25.0,67.0,92.0,100.0,100.0,0.0,28,0,31210.0,2324.0,458.0,0,0,0,0,0,268,0,190
130,29080,Hôpital-Camfrout,242900801,42,5.0,14.0,43.0,93.0,95.0,95.0,5.0,41,0,158082.0,4584.0,1148.0,0,0,0,0,0,1114,0,34
131,29082,Île-de-Batz,200067072,10,10.0,30.0,60.0,100.0,100.0,100.0,0.0,7,4,44234.0,849.0,1004.0,0,0,0,0,0,0,780,224
132,29085,Île-Tudy,242900702,2,0.0,50.0,50.0,100.0,100.0,100.0,0.0,1,0,28871.0,123.0,81.0,0,0,0,0,0,0,0,81
133,29086,Irvillac,242900801,12,8.0,17.0,75.0,100.0,100.0,100.0,0.0,13,0,29802.0,1432.0,220.0,0,0,0,0,0,0,0,220
134,29087,Le Juch,242900645,5,0.0,40.0,40.0,100.0,100.0,100.0,0.0,6,0,44137.0,452.0,468.0,0,0,0,0,0,468,0,0
135,29090,Kerlaz,242900645,1,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0,44180.0,0.0,387.0,0,0,0,0,0,387,0,0
136,29091,Kerlouan,242900793,27,11.0,52.0,74.0,93.0,93.0,93.0,7.0,19,3,61804.0,2082.0,2585.0,0,0,0,0,0,2468,70,47
137,29093,Kernilis,242900793,1,0.0,100.0,100.0,100.0,100.0,100.0,0.0,1,0,1100.0,117.0,0.0,0,0,0,0,0,0,0,0
138,29098,Lampaul-Plouarzel,242900074,19,16.0,11.0,58.0,100.0,100.0,100.0,0.0,18,0,21300.0,2046.0,98.0,0,98,0,0,0,0,0,0
139,29099,Lampaul-Ploudalmézeau,242900074,3,0.0,33.0,100.0,100.0,100.0,100.0,0.0,3,0,41021.0,399.0,0.0,0,0,0,0,0,0,0,0
140,29101,Landéda,242900553,106,7.0,39.0,60.0,84.0,88.0,88.0,12.0,102,3,112849.0,10836.0,3176.0,0,0,0,1280,0,0,1390,506
141,29103,Landerneau,242900801,255,3.0,41.0,55.0,94.0,96.0,96.0,4.0,344,6,246113.0,36166.0,12311.0,1475,3648,2200,3471,138,0,1348,31
142,29104,Landévennec,200066868,7,0.0,43.0,57.0,86.0,86.0,86.0,14.0,3,0,257403.0,351.0,1549.0,0,0,0,0,0,1549,0,0
143,29109,Landunvez,242900074,67,1.0,25.0,51.0,91.0,91.0,91.0,9.0,59,3,99441.0,6424.0,17123.0,0,96,0,0,0,16919,54,0
144,29112,Lanildut,242900074,18,6.0,44.0,72.0,89.0,89.0,89.0,11.0,19,3,35067.0,1835.0,730.0,0,0,0,360,0,0,0,370
145,29113,Lanmeur,242900835,25,12.0,44.0,88.0,96.0,96.0,96.0,4.0,20,0,63172.0,2669.0,5528.0,0,0,0,0,17,5511,0,0
146,29117,Lannilis,242900553,205,3.0,40.0,69.0,97.0,97.0,98.0,2.0,211,3,1049630.0,21615.0,8800.0,0,0,171,0,7,8160,0,462
147,29120,Lanvéoc,200066868,17,0.0,29.0,71.0,82.0,88.0,88.0,12.0,16,2,19730.0,1658.0,2112.0,0,0,0,0,0,2112,0,0
148,29130,Locmaria-Plouzané,242900074,121,2.0,25.0,50.0,96.0,96.0,96.0,4.0,115,0,346423.0,12523.0,4164.0,0,343,0,458,10,2917,426,10
