,INSEE_COM,NOM_COMMUNE,SIREN_EPCI,TacheUrb2014,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
91,22214,Plouézec,200067981,extérieur,82,6.0,32.0,56.0,73.0,88.0,88.0,12.0,97,1,343298.0,10806.0,2457.0,0,302,0,0,0,2155,0,0
92,22214,Plouézec,200067981,intérieur,138,4.0,34.0,51.0,71.0,77.0,80.0,20.0,142,6,309617.0,15950.0,5896.0,0,0,3160,0,0,2302,0,434
93,22215,Ploufragan,200069409,extérieur,5,40.0,20.0,80.0,100.0,100.0,100.0,0.0,5,1,8557.0,577.0,0.0,0,0,0,0,0,0,0,0
94,22215,Ploufragan,200069409,intérieur,7,14.0,29.0,71.0,71.0,100.0,100.0,0.0,2,0,137385.0,210.0,7353.0,0,0,47,0,11,0,2632,4663
95,22218,Plougrescant,200065928,extérieur,19,5.0,53.0,74.0,79.0,89.0,89.0,11.0,13,2,49471.0,1410.0,999.0,0,28,0,619,0,62,0,290
96,22218,Plougrescant,200065928,intérieur,34,3.0,53.0,59.0,71.0,76.0,82.0,18.0,42,4,43121.0,4300.0,693.0,0,208,184,0,0,290,0,11
97,22221,Plouguiel,200065928,extérieur,20,15.0,55.0,80.0,85.0,85.0,85.0,15.0,13,0,84171.0,1703.0,7023.0,0,0,225,0,0,6608,190,0
98,22221,Plouguiel,200065928,intérieur,38,3.0,39.0,84.0,95.0,100.0,100.0,0.0,40,0,110211.0,3784.0,3297.0,0,34,0,0,0,2959,96,208
99,22222,Plouha,200069086,extérieur,118,3.0,37.0,43.0,73.0,79.0,81.0,19.0,126,11,307013.0,13647.0,1332.0,0,66,0,0,0,1257,0,9
100,22222,Plouha,200069086,intérieur,124,3.0,44.0,51.0,77.0,83.0,84.0,16.0,153,7,51308.0,17664.0,2583.0,79,852,545,0,0,0,97,465
101,22224,Ploulec'h,200065928,extérieur,39,5.0,21.0,77.0,92.0,97.0,97.0,3.0,71,0,52613.0,10957.0,1030.0,0,49,487,0,9,0,392,0
102,22224,Ploulec'h,200065928,intérieur,26,4.0,42.0,88.0,92.0,96.0,96.0,4.0,27,0,110076.0,2488.0,7145.0,0,0,1448,0,0,2700,7,2990
103,22226,Ploumilliau,200065928,extérieur,21,0.0,48.0,81.0,100.0,100.0,100.0,0.0,9,0,139785.0,1054.0,6123.0,0,314,0,2186,0,3120,503,0
104,22226,Ploumilliau,200065928,intérieur,25,4.0,56.0,88.0,92.0,96.0,96.0,4.0,16,1,49931.0,1797.0,3664.0,0,0,574,420,0,874,1242,554
105,22232,Plourhan,200069409,extérieur,123,5.0,31.0,69.0,89.0,93.0,93.0,7.0,126,0,459334.0,13969.0,7943.0,0,0,0,528,17,7398,0,0
106,22232,Plourhan,200069409,intérieur,50,4.0,32.0,74.0,92.0,92.0,92.0,8.0,53,0,60172.0,5638.0,741.0,0,0,0,157,0,531,0,53
107,22233,Plourivo,200067981,extérieur,24,4.0,54.0,79.0,92.0,100.0,100.0,0.0,30,0,86761.0,3133.0,298.0,0,0,0,0,0,298,0,0
108,22233,Plourivo,200067981,intérieur,54,6.0,30.0,80.0,98.0,100.0,100.0,0.0,48,2,142074.0,4818.0,4180.0,0,0,0,0,0,3470,0,710
109,22235,Plouzélambre,200065928,extérieur,4,0.0,50.0,75.0,75.0,75.0,75.0,25.0,2,1,32338.0,202.0,941.0,40,0,0,0,0,901,0,0
110,22235,Plouzélambre,200065928,intérieur,8,0.0,38.0,75.0,88.0,88.0,88.0,12.0,8,1,6911.0,848.0,0.0,0,0,0,0,0,0,0,0
111,22237,Pluduno,200068989,extérieur,7,14.0,29.0,29.0,86.0,86.0,86.0,14.0,5,1,30262.0,603.0,1879.0,0,0,0,0,0,1879,0,0
112,22237,Pluduno,200068989,intérieur,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1,0,3250.0,91.0,0.0,0,0,0,0,0,0,0,0
